	temp	morph
Codium_acuminatum	24.77433333	mat
Codium_adhaerens_1	15.755	mat
Codium_adhaerens_2	18.6385	mat
Codium_arabicum_1	28.25114286	mat
Codium_arabicum_2	27.75952381	mat
Codium_arabicum_3	26.10064286	mat
Codium_arabicum_7	26.274	mat
Codium_arenicola	27.264	upright
Codium_barbatum	21.5395	upright
Codium_bernabei	15.46964706	mat
Codium_bursa_1	16.15933333	ball
Codium_bursa_2	20.329	ball
Codium_capitatum	23.594875	upright
Codium_capitulatum	21.71625	mat
Codium_carolinianum	24.558	upright
Codium_cf_dimorphum	20.47825	mat
Codium_cf_flabel	26.275	upright
Codium_cf_fragile	24.7561	upright
Codium_cf_latum_2	26.19841667	upright
Codium_cf_mamillosum_1	22.43	ball
Codium_cf_mamillosum_2	28.342	ball
Codium_cf_mamillosum_3	26.19366667	ball
Codium_cf_minus	26.19369231	ball
Codium_cf_tenue	29.536	upright
Codium_contractum	20.1822	upright
Codium_convolutum	15.8842	mat
Codium_coralloides	18.18333333	mat
Codium_cranwelliae	17.485	ball
Codium_cylind_amplives	24.92805263	upright
Codium_decorticatum	21.22943333	upright
Codium_dimorphum	11.9144	mat
Codium_duthieae_1	22.30245455	upright
Codium_duthieae_2	17.89104545	upright
Codium_duthieae_3	25.891	upright
Codium_dwarkense_2	27.78	upright
Codium_edule_1	26.136125	upright
Codium_edule_2	25.91533333	upright
Codium_effusum	18.23935714	mat
Codium_elisabethae	18.7496	ball
Codium_extricatum	21.44542857	upright
Codium_fragile	17.62225	upright
Codium_galeatum	18.17047368	upright
Codium_geppiorum_1	27.01738462	upright
Codium_geppiorum_2	24.82775	upright
Codium_geppiorum_4	27.00545455	upright
Codium_geppiorum_5	28.46833333	upright
Codium_giraffa	29.409	upright
Codium_globosum	25.4205	ball
Codium_gongylocephalum	24.755	upright
Codium_gracile	13.889	upright
Codium_hawaiiense_1	23.8845	upright
Codium_hawaiiense_2	25.862	upright
Codium_hubbsii	19.94423529	mat
Codium_intertextum	25.27214815	mat
Codium_intricatum	22.15133333	upright
Codium_isabelae	28.5392381	upright
Codium_isthmocladum_1	28.26178261	upright
Codium_isthmocladum_2	25.80909091	upright
Codium_isthmocladum_cla	26.96525	upright
Codium_laminarioides	20.43466667	upright
Codium_latum	21.259	upright
Codium_lucasii_2	24.02625	mat
Codium_lucasii_3	27.8135	mat
Codium_lucasii_cap_1	23.11265	mat
Codium_lucasii_cap_2	26.2068	mat
Codium_lucasii_cap_3	25.304	mat
Codium_mamillosum	19.709	ball
Codium_megalophysum	22.73825	ball
Codium_minus_1	22.616	ball
Codium_minus_2	20.8155	ball
Codium_minus_3	25.236	ball
Codium_molare	26.273	upright
Codium_muelleri	23.68	upright
Codium_no_ID_10	28.816	upright
Codium_no_ID_12	16.173	upright
Codium_no_ID_13	17.27533333	mat
Codium_no_ID_16	25.28233333	upright
Codium_no_ID_18	25.04918182	mat
Codium_no_ID_19	23.985	mat
Codium_no_ID_20	26.692	upright
Codium_no_ID_21	26.73666667	mat
Codium_no_ID_24	28.934	upright
Codium_no_ID_25	25.697	upright
Codium_no_ID_26	24.975	mat
Codium_no_ID_28	24.751	mat
Codium_no_ID_3	28.9484	upright
Codium_no_ID_30	28.1635	upright
Codium_no_ID_32	26.41	upright
Codium_no_ID_33	25.3105	mat
Codium_no_ID_34	25.236	upright
Codium_no_ID_35	25.236	upright
Codium_no_ID_36	24.846	mat
Codium_no_ID_37	24.57166667	mat
Codium_no_ID_39	25.076	ball
Codium_no_ID_4	28.964	upright
Codium_no_ID_40	16.987	upright
Codium_no_ID_41	24.091	upright
Codium_no_ID_42	17.34733333	mat
Codium_no_ID_43	25.359	mat
Codium_no_ID_44	26.08	upright
Codium_no_ID_45	18.865	upright
Codium_no_ID_46	16.7945	upright
Codium_no_ID_47	17.132875	upright
Codium_no_ID_5	28.964	upright
Codium_no_ID_51	18.306	upright
Codium_no_ID_52	25.236	upright
Codium_no_ID_53	25.76616667	upright
Codium_no_ID_54	25.191	upright
Codium_no_ID_55	25.191	upright
Codium_no_ID_58	24.67466667	mat
Codium_no_ID_59	21.677	mat
Codium_no_ID_62	19.354	mat
Codium_no_ID_63	15.367	mat
Codium_no_ID_66	25.76266667	upright
Codium_no_ID_67	24.1245	mat
Codium_no_ID_68	15.417	mat
Codium_no_ID_7	28.92666667	upright
Codium_no_ID_70	23.329	mat
Codium_no_ID_71	14.272	mat
Codium_no_ID_72	15.16	mat
Codium_no_ID_75	23.93225	upright
Codium_no_ID_79	20.69471429	mat
Codium_no_ID_8	29.833	upright
Codium_no_ID_80	18.453	upright
Codium_no_ID_81	23.329	mat
Codium_no_ID_82	24.727	mat
Codium_ovale	27.58866667	ball
Codium_papenfussii	22.478	ball
Codium_parvulum	27.54285714	upright
Codium_pernambucensis	27.25825	upright
Codium_peruvianum	18.72125	upright
Codium_picturatum	27.502375	mat
Codium_platyclados	22.12431579	upright
Codium_platylobium	22.48466667	upright
Codium_pomoides	16.00022222	ball
Codium_prostratum	25.32025	upright
Codium_recurvatum	26.5955	ball
Codium_reediae	26.11472727	upright
Codium_repens	28.1041	upright
Codium_ritteri	7.235	mat
Codium_saccatum	24.538625	ball
Codium_setchellii_1	12.66775	mat
Codium_setchellii_2	10.656	mat
Codium_setchellii_3	17.81066667	mat
Codium_simulans	23.60276056	upright
Codium_sp_1	26.064	upright
Codium_sp_3	25.86805	upright
Codium_sp_4	29.092	upright
Codium_sp_6	28.7832	upright
Codium_sp_7	25.132625	upright
Codium_sp_8	17.14676923	mat
Codium_spinescens	20.35133333	upright
Codium_spongiosum	23.38107143	mat
Codium_stephensiae	18.125	mat
Codium_subantarcticum	7.535	mat
Codium_subtubulosum	19.458375	upright
Codium_taylorii	25.88222222	upright
Codium_tenue	19.24566667	upright
Codium_tenuifolium	19.90636364	upright
Codium_tomentosum	16.208	upright
Codium_vermilara	15.38018182	upright
Codium_yezoense	13.877	upright
Codium_arabicum_6	26.274	mat
Codium_no_ID_73	25	upright
Codium_no_ID_74	25	mat